question_id,question,question_sentiment,answer,answer_sentiment
question_box_125404967365,Haha shit my bad that was me‎  solomon kia,positive,ohhh solomonnnnn. Lol thanks stranger(:,positive
question_box_118596911162,ok haters felicity didnt do shit to u shes perfect she aint a hoe so learn ur god damn definitions k? k! back the fuck off b4 i make ur life a living hell u think u mean something to people like ur insults mean something but all u r is a person thats to much of a pussy to show themslef ILYSFM gurl!!‎  ❤♕*Queen*♕❤,negative,thank you sm ilymmm bridgettttt,positive
question_box_113087860185,what makes you crazy mad?,positive,when pp don't answer the phone and other shit,positive
question_box_105844840125,Imitate,positive,"""Sky I miss you!""""She's evil""""Don't kill anymore cats!""""Hey Rex""*tells me all about catching fire*""I went to California for nationals""""You were the reason for the carpets?""*laughs a lot*""Let's hang out soon!""""Yeah""*tries to make an angry face but laughs*Love you emmmmaaaaaa❤️❤️❤️❤️",positive
question_box_62199262942,"stop posting pick of you on instagram high, you look fuckin stupid.",negative,haha i dont post pictures of me high on instagram. lol the fuck you smoking? ;p,positive
question_box_114554987327,munib nigga love you <3 ;))),positive,lol love you to,positive
question_box_111629960241,What's your favorite movie scene?,positive,when forrest Gump gets those dope ass nikes #$wag,positive
question_box_125953695152,yes,positive,texans but they suck,positive
question_box_119777511422,th sheila your such an amazing cherleader! i miss having you on my team but i love seeing you kill it on prodigy. good luck this season! love you!!a  belly pasquesi,positive,"a thank you, imyt, you're amazing on divinity! love you",positive
question_box_126227721368,Will humans ever live on another planet?,positive,they will live either in heaven or die in hell,positive
question_box_53574703108,where would you bury your treasure if you had some?,positive,"if i tell you, i would have to kill you. those are the rules.",positive
question_box_104258188616,Your have a big ass,positive,i've been told ahah,positive
question_box_132165400461,HEY GUYS WHAT THE FUCK IS UP? TELL ME ABOUT YOUR DAY.‎  Tom DeLonge,positive,"I sound too excited nice LMAO but today was a pretty okay day! Could've gone better but eh, can't complain.",positive
question_box_55303093867,Who from one direction would you fuck,positive,All of them i mean lets be real now,positive
question_box_127015637771,ocean,positive,ok. louis is a MERMaN aND he the prince of aLL the OCEaNS aND SEaS aND louis likes to HaNG out by the SURFaCE of the OCEaN a lot even though its frowned upon aND one DaY a green eyed boy CaTChe him while FisHING or or or or !!!!! HaRRY WaS a SaILor who ship WaS TaKEN over by PIRaTES aND he left to die but theN louis!! a MERMaN aPPEaRS to help the pretty boy,positive
question_box_130222046638,"Will you eventually suck d or would u do it at this age, no judging!",negative,ew wth no bye,positive
question_box_58402139358,why are you so tucked up you think you're pretty well you're not you think you're not a whore well you are you think you don't wear to short of short well you do like really everyone's saying it and you're all like no it's not true acting all innocent well you're not,negative,i dont think im pretty. i haven wore short for like a month now. yeah i am tucked up. thanks for telling me everything i already know. a,positive
question_box_128940401032,Lmao I'm a bad influence ? Watch me be ur mom now >:),positive,nigga nooo u cray cray when u actin like my mom,positive
773525667,pussy ass nigger,negative,i aunt black nigga,positive
question_box_106377789645,u have a nice ass,positive,who is this?,positive
question_box_45216083051,IS SOMEONE FUCKING POSING AS ME,positive,I dont know but youre the original ❤❤,positive
question_box_126196709573,"Marry, fuck, date or pass for a like",positive,Lol k,positive
